image_path,style,landmark
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda18.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda1.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda0.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda19.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda15.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda7.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda12.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda6.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda5.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda9.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda8.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda4.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda16.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/TianningTemplePagoda/TianningTemplePagoda17.jpeg,Pagodas,TianningTemplePagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda12.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda13.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda6.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda14.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda1.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda19.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda0.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda15.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda16.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda3.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda5.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda10.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda9.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/ThienMuPagoda/ThienMuPagoda11.jpeg,Pagodas,ThienMuPagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-14.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-15.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-17.JPG,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-12.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-13.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-8.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-11.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-10.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-6.jpg,Pagodas,GiantWildGoosePagoda
data/Landmarks-v1_0/Pagodas/GiantWildGoosePagoda/GiantWildGoosePagoda-4.JPG,Pagodas,GiantWildGoosePagoda
